P,V
5.4,52
6.1,51.6
8.7,52.91
7.8,52.74
11.5,52.69
10.9,52.5
11.4,52.88
11.6,52.94
12.3,52.9
3.8,47.82
3.8,47.98
4,48.13
4,48.26
