P,V
12.64367816,49.543379
18.73563218,48.36073059
19.42528736,48.23287671
22.98850575,47.65753425
24.71264368,47.40182648
25.97701149,47.33789954
27.35632184,46.98630137
29.31034483,46.73059361
30.11494253,46.53881279
34.36781609,45.99543379
37.01149425,45.61187215
41.72413793,45.2283105
43.44827586,45.26027397
51.14942529,44.3652968
54.36781609,44.01369863
58.3908046,43.7260274
61.03448276,43.43835616
68.04597701,42.99086758
