P,V
18.4893336697, 46.90042889580355
18.4666274213, 50.22008241527206
22.3039834048, 49.19863762509461
25.0371429372, 49.610713985367084
26.411852101, 48.62823423878003
28.8801054018, 47.76960165951841
29.5640960951, 47.77016230762762
33.2601687551, 47.40433941636532
23.9626608359, 46.699997196759455
30.1244638802, 45.84439211728759
31.3556471281, 45.84540128388417
41.4700193424, 47.12418355619096
41.8832169989, 46.71468617722087
43.7983909399, 46.71625599192667
40.1084854091, 46.18044459395061
39.4272979564, 45.770050178005775
40.9320774816, 45.77128360384605
48.4559751072, 45.77745073304741
50.2337902615, 45.86087517169849
47.638830488, 45.243994057130045
47.7781515432, 44.87525579569983
49.9672020856, 44.836066492865754
52.7031648586, 44.83830908530261
55.1708575113, 44.061643259608104
59.6826731702, 44.43419392818098
59.9526252348, 44.96720208561097
59.9526252348, 44.96720208561097
61.6006503518, 44.02592997505116
63.655145348, 43.65876152832675
65.7124435848, 42.88175931376672
67.7571272391, 43.94900905446696
81.8619123707, 41.82942281277157
